Autor,País / Región,Lógica del cambio político,Lógica metodológica,Notas
Abers (2000),Brasil,Top-down,Secuencial,Diseño desde gobierno local; sin coyuntura ni emergencia
Postero (2017),Bolivia,Mixto (bottom-up → top-down),Contingente (con elementos emergentes),Inicio desde movimientos; consolidación estatal desde el MAS
Leyva Solano (2005),México (Chiapas),Bottom-up,Emergente,Autonomía indígena sin diseño central; caso de emergencia fuerte
Silva (2009),Argentina,Bottom-up,Contingente / Emergente,Autoorganización urbana post-crisis
Somma & Donoso (2022),Chile,Bottom-up,Contingente / Híbrida emergente,Presión social acumulativa; apertura no planificada
Bunce (2003),Europa del Este,Bottom-up crítico,Contingente (con trayectorias divergentes),"Cambio desordenado, sin control central"
Stroschein (2012),Europa del Este,Mixta,Secuencial (con sensibilidad contingente),"Diseño desde el centro, con margen para agencia local"
Gibson (2005),"Latinoamérica (México, Argentina)",Bottom-up (inverso / autoritario),Secuencial / Estructural,Encapsulamiento institucional desde lo subnacional
Giraudy (2010),Latinoamérica,Bottom-up (inverso),Institucionalismo histórico / estructural,Reproducción de enclaves por élites subnacionales
Boone (2003),África,Bottom-up estructural,Contingente de larga duración,Formación histórica de arreglos subnacionales
Gberevbie & Mukoro (2023),Nigeria,Top-down,Contingente estratégica,Descentralización clientelar sin participación real
Lust-Okar (2005),Medio Oriente,Top-down,Secuencial / Funcionalista,Inclusión regulada como estrategia de control
Wiktorowicz (2000),Jordania,Top-down,Estructural / Funcionalista,Gestión autoritaria de la sociedad civil
